year,month,province_ifls1,district_ifls1,province,district,district_name,precip_cm,lat,lon
1950,1,54.0,1.0,54.0,,cova lima,47.010002,-9.25,125.25
1950,1,,,14.0,73.0,d u m a i,29.51,1.75,101.25
1950,1,12.0,8.0,12.0,10.0,dairi,25.039999,2.75,98.25
1950,1,12.0,10.0,12.0,12.0,deli serdang,15.219999,3.75,98.75
1950,1,33.0,21.0,33.0,21.0,demak,42.59,-6.75,110.75
1950,1,51.0,71.0,51.0,71.0,denpasar,,-8.75,115.25
1950,1,,,32.0,77.0,depok,18.03,-6.25,106.75
1950,1,54.0,8.0,54.0,,dilli,42.78,-8.75,125.75
1950,1,52.0,5.0,52.0,5.0,dompu,,-8.25,118.75
1950,1,72.0,3.0,72.0,5.0,donggala,,-0.75,120.25
1950,1,53.0,10.0,53.0,11.0,ende,,-8.25,121.75
1950,1,73.0,16.0,73.0,16.0,enrekang,10.24,-3.25,120.25
1950,1,54.0,11.0,54.0,,ermera,41.48,-8.75,125.25
1950,1,82.0,5.0,,,fak-fak,28.75,-3.75,134.75
1950,1,53.0,8.0,53.0,9.0,flores timur,42.5,-8.25,123.25
1950,1,32.0,7.0,32.0,7.0,garut,19.939999,-7.25,107.75
1950,1,51.0,4.0,51.0,4.0,gianyar,51.51,-8.25,115.25
1950,1,71.0,1.0,71.0,2.0,gorontalo,17.33,0.75,123.25
1950,1,71.0,71.0,71.0,2.0,gorontalo,17.33,0.75,123.25
1950,1,73.0,6.0,73.0,6.0,gowa,72.72,-5.25,119.75
1950,1,35.0,25.0,35.0,25.0,gresik,25.26,-7.25,112.75
1950,1,33.0,15.0,33.0,15.0,grobogan,27.939999,-7.25,110.25
1950,1,34.0,3.0,34.0,3.0,gunung kidul,19.82,-7.75,110.75
1950,1,81.0,4.0,81.0,,halmahera tengah,,0.25,128.25
1950,1,63.0,6.0,63.0,6.0,hulu sei selatan,20.5,-2.75,115.25
1950,1,63.0,7.0,63.0,7.0,hulu sei tengah,20.5,-2.75,115.25
1950,1,63.0,8.0,63.0,8.0,hulu sei utara,21.03,-2.25,115.25
1950,1,14.0,2.0,14.0,3.0,indragiri hilir,,-0.25,103.75
1950,1,14.0,1.0,14.0,2.0,indragiri hulu,23.75,-0.25,102.25
1950,1,32.0,14.0,32.0,14.0,indramayu,,-6.25,108.25
1950,1,31.0,74.0,31.0,74.0,jakarta barat,18.03,-6.25,106.75
1950,1,31.0,73.0,31.0,73.0,jakarta pusat,18.03,-6.25,106.75
1950,1,31.0,71.0,31.0,71.0,jakarta selatan,18.03,-6.25,106.75
1950,1,31.0,72.0,31.0,72.0,jakarta timur,18.03,-6.25,106.75
1950,1,31.0,75.0,31.0,75.0,jakarta utara,18.03,-6.25,106.75
1950,1,15.0,71.0,15.0,71.0,jambi,20.26,-1.75,103.75
1950,1,82.0,3.0,93.0,4.0,jayapura,33.15,-2.75,139.75
1950,1,82.0,2.0,93.0,2.0,jayawijaya,23.85,-4.25,139.75
1950,1,35.0,9.0,35.0,9.0,jember,36.54,-8.25,113.75
1950,1,51.0,1.0,51.0,1.0,jembrana,24.73,-8.25,114.75
1950,1,73.0,4.0,73.0,4.0,jeneponto,72.72,-5.25,119.75
1950,1,33.0,20.0,33.0,20.0,jepara,,-6.25,110.75
1950,1,35.0,17.0,35.0,17.0,jombang,28.429998,-7.25,112.25
1950,1,14.0,4.0,14.0,6.0,kampar,26.24,0.25,101.75
1950,1,62.0,3.0,62.0,3.0,kapuas,28.570002,-3.25,114.25
1950,1,61.0,6.0,61.0,,kapuas hulu,39.28,1.25,113.25
1950,1,51.0,7.0,51.0,7.0,karang asem,,-8.25,115.75
1950,1,33.0,13.0,33.0,13.0,karanganyar,21.73,-7.75,110.25
1950,1,32.0,17.0,32.0,17.0,karawang,7.3900003,-6.25,107.25
1950,1,,,14.0,11.0,karimun,,1.25,103.25
1950,1,12.0,9.0,12.0,11.0,karo,28.55,3.25,98.25
1950,1,33.0,5.0,33.0,5.0,kebumen,31.11,-7.75,109.75
1950,1,35.0,6.0,35.0,6.0,kediri,29.09,-7.75,112.25
1950,1,35.0,71.0,35.0,71.0,kediri,29.09,-7.75,112.25
1950,1,33.0,24.0,33.0,24.0,kendal,,-6.75,110.25
1950,1,74.0,3.0,74.0,3.0,kendari,8.95,-3.75,122.25
1950,1,,,13.0,1.0,kepulauan mentawai,,-1.75,99.75
1950,1,14.0,3.0,14.0,10.0,kepulauan riau,22.42,0.75,104.75
1950,1,15.0,1.0,15.0,1.0,kerinci,38.95,-2.25,101.25
1950,1,61.0,4.0,61.0,6.0,ketapang,22.07,-1.25,110.75
1950,1,33.0,10.0,33.0,10.0,klaten,19.82,-7.75,110.75
1950,1,51.0,5.0,51.0,5.0,klungkung,,-8.25,115.75
1950,1,74.0,4.0,74.0,4.0,kolaka,10.86,-3.75,121.75
1950,1,63.0,2.0,63.0,2.0,kota baru,28.779999,-2.75,116.25
1950,1,12.0,73.0,12.0,73.0,kota pematang siantar,21.64,2.75,99.25
1950,1,62.0,1.0,62.0,1.0,kotawaringin barat,14.94,-2.25,111.75
1950,1,62.0,2.0,62.0,2.0,kotawaringin timur,32.57,-2.75,112.75
1950,1,,,14.0,1.0,kuantan sengingi,29.220001,-0.25,101.75
1950,1,33.0,19.0,33.0,19.0,kudus,24.55,-6.75,111.25
1950,1,34.0,1.0,34.0,1.0,kulon progo,21.73,-7.75,110.25
1950,1,32.0,10.0,32.0,10.0,kuningan,,-6.75,108.75
1950,1,53.0,3.0,53.0,3.0,kupang,58.620003,-9.75,123.75
1950,1,64.0,2.0,64.0,3.0,kutai,14.82,0.25,116.75
1950,1,,,64.0,2.0,kutai barat,16.09,-0.25,115.75
1950,1,,,64.0,4.0,kutai timur,13.610001,1.25,116.75
1950,1,12.0,5.0,12.0,7.0,labuhan batu,25.34,2.25,99.75
1950,1,16.0,4.0,16.0,4.0,lahat,39.79,-3.75,103.25
1950,1,35.0,24.0,35.0,24.0,lamongan,,-6.75,112.25
1950,1,18.0,4.0,18.0,1.0,lampung barat,15.44,-5.25,104.25
1950,1,18.0,1.0,18.0,3.0,lampung selatan,11.3,-5.25,105.25
1950,1,18.0,2.0,18.0,5.0,lampung tengah,23.52,-4.75,105.25
1950,1,,,18.0,4.0,lampung timur,21.9,-4.75,105.75
1950,1,18.0,3.0,18.0,6.0,lampung utara,23.86,-4.25,104.75
